net,length_um
_1324_,15.94
_1663_,15.94
_2504_,15.94
net44,15.94
_1694_,15.92
_1628_,15.9
_0771_,15.88
_1267_,15.88
_0995_,15.85
_0943_,15.84
_1695_,15.84
_1945_,15.84
_2369_,15.84
_0531_,15.8
_0748_,15.8
_1051_,15.8
_0889_,15.78
u_interface.core_attn_out\[31\],15.78
_0836_,15.77
_0849_,15.76
_1263_,15.76
_2367_,15.76
u_interface.u_compute_core.u_av.product_reg\[27\],15.76
_1147_,15.72
_2441_,15.72
_0279_,15.7
_0785_,15.68
_1562_,15.68
_1771_,15.68
_2802_,15.68
_0519_,15.64
_1159_,15.62
_1553_,15.62
_1313_,15.6
_1910_,15.6
_1552_,15.58
u_interface.core_attn_out\[25\],15.58
_2135_,15.56
_2238_,15.56
u_interface.core_attn_out\[23\],15.56
_0958_,15.52
_2390_,15.52
_0906_,15.5
_0662_,15.48
_1119_,15.48
_0714_,15.46
_1834_,15.44
_2852_,15.44
_2882_,15.42
_2942_,15.41
_0677_,15.4
_2335_,15.4
_0517_,15.36
_1428_,15.36
_0236_,15.34
_1950_,15.34
_0856_,15.3
_1023_,15.3
_2083_,15.28
_2763_,15.28
_0276_,15.26
_1144_,15.26
_2492_,15.26
_2918_,15.26
_0674_,15.24
_1201_,15.24
_1090_,15.22
_1200_,15.22
_1320_,15.22
_2180_,15.22
_1239_,15.2
_0993_,15.18
_1711_,15.18
_2097_,15.18
_2344_,15.18
_1162_,15.16
_2203_,15.16
_0262_,15.14
_1292_,15.12
_0379_,15.1
_1938_,15.1
_2371_,15.1
_2794_,15.1
_2915_,15.1
_0567_,15.08
_1708_,15.08
_1003_,15.06
_1318_,15.06
_2742_,15.02
_0959_,15
_0299_,14.96
u_interface.core_attn_out\[26\],14.96
_0240_,14.92
_0389_,14.92
_1167_,14.9
_0727_,14.88
_2031_,14.88
_2766_,14.88
_2991_,14.88
_1104_,14.86
_2738_,14.86
_0605_,14.84
_1032_,14.84
_1442_,14.84
_1746_,14.84
_1323_,14.82
_1927_,14.82
_1171_,14.81
_0297_,14.8
_1417_,14.765
_0248_,14.76
_0327_,14.76
_0346_,14.76
_0375_,14.76
_1012_,14.76
_1231_,14.76
_2932_,14.76
_1891_,14.74
_2374_,14.74
_1236_,14.7
_1306_,14.7
_1473_,14.68
_1797_,14.66
_0925_,14.62
_2875_,14.62
_1160_,14.6
_1947_,14.6
_2836_,14.6
_2084_,14.58
u_interface.u_compute_core.relu_data\[1\],14.58
_1330_,14.56
_2082_,14.56
_2898_,14.56
_1014_,14.52
_1308_,14.52
_1524_,14.52
_2616_,14.5
_0817_,14.48
net63,14.44
_0553_,14.42
_1531_,14.42
_2085_,14.42
u_interface.core_attn_out\[24\],14.42
_1132_,14.4
_0968_,14.38
_1702_,14.38
_0080_,14.365
_0573_,14.34
_1401_,14.32
_2047_,14.32
_1110_,14.3
_1140_,14.3
_1661_,14.3
_1712_,14.28
_2049_,14.28
_0481_,14.26
_0842_,14.26
_1355_,14.26
_2151_,14.26
net72,14.26
_1564_,14.24
_1035_,14.22
_1706_,14.22
_1545_,14.2
_0419_,14.16
_2855_,14.16
_0291_,14.14
_1540_,14.14
_2139_,14.14
_2011_,14.12
_2152_,14.12
_0843_,14.115
_2050_,14.1
_2908_,14.1
_0475_,14.08
_0899_,14.08
_1425_,14.06
_1979_,14.03
_0682_,14.02
_1376_,14.02
_1917_,14
_2759_,14
_0241_,13.98
_0675_,13.98
_2848_,13.98
_0566_,13.96
_0929_,13.96
_1078_,13.96
_1637_,13.92
_1863_,13.92
